timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:23:06,2026-05-16 11:38:18,bagdrop_seguridad_embarque,10.7
2026-05-16 11:23:06,2026-05-16 11:38:18,directo_seguridad_pasaportes_embarque,10.7
2026-05-16 11:23:06,2026-05-16 11:38:18,directo_seguridad_embarque,8.7
2026-05-16 11:23:09,2026-05-16 11:39:18,checkin_seguridad_pasaportes_embarque,14.6
2026-05-16 11:23:09,2026-05-16 11:39:18,checkin_seguridad_embarque,12.6
2026-05-16 11:23:09,2026-05-16 11:39:18,bagdrop_seguridad_pasaportes_embarque,13.1
2026-05-16 11:23:09,2026-05-16 11:39:18,bagdrop_seguridad_embarque,11.1
2026-05-16 11:23:09,2026-05-16 11:39:18,directo_seguridad_pasaportes_embarque,11.1
2026-05-16 11:23:09,2026-05-16 11:39:18,directo_seguridad_embarque,9.1
2026-05-16 11:23:12,2026-05-16 11:40:18,checkin_seguridad_pasaportes_embarque,15.2
2026-05-16 11:23:12,2026-05-16 11:40:18,checkin_seguridad_embarque,13.2
2026-05-16 11:23:12,2026-05-16 11:40:18,bagdrop_seguridad_pasaportes_embarque,13.7
2026-05-16 11:23:12,2026-05-16 11:40:18,bagdrop_seguridad_embarque,11.7
2026-05-16 11:23:12,2026-05-16 11:40:18,directo_seguridad_pasaportes_embarque,11.7
2026-05-16 11:23:12,2026-05-16 11:40:18,directo_seguridad_embarque,9.7
2026-05-16 11:23:15,2026-05-16 11:41:18,checkin_seguridad_pasaportes_embarque,16.18
2026-05-16 11:23:15,2026-05-16 11:41:18,checkin_seguridad_embarque,14.18
2026-05-16 11:23:15,2026-05-16 11:41:18,bagdrop_seguridad_pasaportes_embarque,14.1
2026-05-16 11:23:15,2026-05-16 11:41:18,bagdrop_seguridad_embarque,12.1
2026-05-16 11:23:15,2026-05-16 11:41:18,directo_seguridad_pasaportes_embarque,12.1
2026-05-16 11:23:15,2026-05-16 11:41:18,directo_seguridad_embarque,10.1
2026-05-16 11:23:18,2026-05-16 11:43:18,checkin_seguridad_pasaportes_embarque,18.46
2026-05-16 11:23:18,2026-05-16 11:43:18,checkin_seguridad_embarque,16.46
2026-05-16 11:23:18,2026-05-16 11:43:18,bagdrop_seguridad_pasaportes_embarque,15.75
2026-05-16 11:23:18,2026-05-16 11:43:18,bagdrop_seguridad_embarque,13.75
2026-05-16 11:23:18,2026-05-16 11:43:18,directo_seguridad_pasaportes_embarque,13.5
2026-05-16 11:23:18,2026-05-16 11:43:18,directo_seguridad_embarque,11.5
2026-05-16 11:23:21,2026-05-16 11:44:18,checkin_seguridad_pasaportes_embarque,19.75
2026-05-16 11:23:21,2026-05-16 11:44:18,checkin_seguridad_embarque,17.75
2026-05-16 11:23:21,2026-05-16 11:44:18,bagdrop_seguridad_pasaportes_embarque,16.75
2026-05-16 11:23:21,2026-05-16 11:44:18,bagdrop_seguridad_embarque,14.75
2026-05-16 11:23:21,2026-05-16 11:44:18,directo_seguridad_pasaportes_embarque,14.5
2026-05-16 11:23:21,2026-05-16 11:44:18,directo_seguridad_embarque,12.5
2026-05-16 11:23:24,2026-05-16 11:45:18,checkin_seguridad_pasaportes_embarque,20.73
